gender,job,child_in_family,activities,weekly_study_hours,Nationality,Score,Health,FamilyEDU,age,Predict
F,no,7,no,37,Russian,3.84,5,0,17,C
F,no,3,yes,28,Russian,3.84,3,0,19,C
F,no,3,no,30,Russian,3.84,1,1,18,C
M,no,1,no,19,Russian,3.84,4,1,21,C
M,yes,7,no,2,Russian,3.84,4,0,22,C
F,yes,4,no,26,Russian,3.84,1,1,21,C
M,no,10,yes,0,Russian,3.84,4,0,19,C
M,no,4,no,5,Russian,3.84,5,1,18,C
F,no,0,no,17,Russian,3.84,1,0,21,C
M,no,2,no,26,Russian,3.85,4,1,21,C
M,no,2,no,32,Russian,3.85,1,0,22,C
F,no,6,yes,16,Russian,3.85,5,1,19,C
F,yes,8,no,2,Russian,3.85,3,0,22,C
M,no,2,no,35,Russian,3.85,3,1,20,C
F,no,0,no,17,Russian,3.85,3,1,20,C
F,no,9,no,3,Russian,3.85,3,1,22,C
F,yes,3,no,47,Russian,3.85,1,1,17,C
M,no,0,no,29,Russian,3.85,3,1,19,C
F,no,10,no,5,Russian,3.85,4,1,17,C
M,no,3,yes,12,Russian,3.85,1,1,18,C
M,no,2,no,35,Russian,3.85,1,1,19,C
F,yes,0,no,3,Russian,3.85,4,0,21,C
M,yes,8,no,2,Russian,3.86,2,0,20,C
M,no,10,no,35,Russian,3.86,5,0,19,C
M,yes,1,no,7,Russian,3.86,1,0,19,C
F,no,4,no,15,Russian,3.86,4,0,22,C
F,no,1,no,3,Russian,3.86,1,0,22,C
M,no,2,no,35,Russian,3.86,2,0,22,C
M,no,3,yes,28,Russian,3.86,2,0,19,C
F,no,9,no,4,Russian,3.86,1,1,17,C
M,no,1,yes,4,Russian,3.86,4,1,20,C
M,no,3,yes,16,Russian,3.86,5,1,17,C
M,no,1,no,26,Russian,3.86,1,1,21,C
M,no,3,no,30,Russian,3.86,5,0,19,C
F,yes,6,no,2,Russian,3.86,2,0,18,C
F,no,2,no,34,Russian,3.86,4,0,20,C
M,no,10,no,0,Russian,3.86,5,0,21,C
F,no,10,yes,3,Russian,3.86,4,0,21,C
M,no,2,no,30,Russian,3.86,1,0,22,C
M,yes,3,yes,15,Russian,3.86,4,0,22,C
M,no,8,yes,1,Russian,3.87,3,0,21,C
M,no,3,yes,6,Russian,3.87,2,0,18,C
F,no,7,yes,1,Russian,3.87,3,0,21,C
M,yes,9,yes,5,Russian,3.87,5,1,21,C
M,no,1,no,30,Russian,3.87,3,1,17,C
M,no,3,yes,8,Russian,3.87,2,1,21,C
M,yes,9,no,5,Russian,3.87,5,1,22,C
F,no,1,no,5,Russian,3.87,3,1,18,C
M,no,4,no,4,Russian,3.87,3,1,19,C
F,no,1,no,47,Russian,3.87,5,0,19,C
F,no,3,yes,16,Russian,3.87,5,1,17,C
M,yes,5,no,3,Russian,3.88,3,1,20,C
F,no,5,yes,32,Russian,3.88,1,1,21,C
F,no,2,no,31,Russian,3.88,1,1,17,C
M,no,3,no,6,Russian,3.88,3,1,22,C
F,no,3,no,16,Russian,3.88,3,1,17,C
M,no,6,no,34,Russian,3.88,4,1,20,C
M,no,3,no,26,Russian,3.88,2,0,18,C
F,no,6,no,21,Russian,3.88,2,0,17,C
M,no,3,no,46,Russian,3.88,5,1,20,C
F,no,6,no,48,Russian,3.88,4,1,18,C
M,yes,1,no,46,Russian,3.88,2,0,19,C
F,yes,3,no,28,Russian,3.88,4,0,20,C
M,yes,4,no,2,Russian,3.88,5,0,21,C
M,yes,0,no,32,Russian,3.88,1,0,21,C
M,yes,10,no,5,Russian,3.89,3,0,17,C
F,no,4,no,31,Russian,3.89,1,0,20,C
M,no,4,yes,1,Russian,3.89,2,1,18,C
F,yes,9,yes,4,Russian,3.89,4,1,17,C
M,no,2,yes,8,Russian,3.89,4,1,22,C
F,no,3,yes,23,Russian,3.89,2,1,22,C
F,no,1,no,23,Russian,3.89,5,0,17,C
M,no,1,no,28,Russian,3.89,5,0,22,C
F,no,1,no,7,Russian,3.89,4,1,18,C
F,no,0,no,5,Russian,3.89,2,1,22,C
F,no,2,no,4,Russian,3.89,2,0,22,C
F,no,2,no,26,Russian,3.89,2,1,18,C
F,no,4,yes,33,Russian,3.89,1,0,18,C
F,no,4,yes,34,Russian,3.89,5,0,19,C
F,yes,4,no,16,Russian,3.89,3,1,17,C
M,no,4,no,3,Russian,3.89,1,1,18,C
M,no,3,no,25,Russian,3.89,3,1,22,C
F,no,0,no,4,Russian,3.89,2,1,22,C
M,no,0,no,4,Russian,3.89,1,1,18,C
F,no,3,no,21,Russian,3.89,3,0,19,C
F,no,7,no,4,Russian,3.89,3,1,21,C
F,no,3,no,24,Russian,3.89,1,1,17,C
M,no,2,no,16,Russian,3.89,5,0,19,C
M,no,10,no,2,Russian,3.89,1,1,22,C
M,no,3,no,35,Russian,3.89,1,1,19,C
M,no,2,no,24,Russian,3.89,2,1,17,C
M,no,2,yes,46,Russian,3.89,1,1,22,C
F,no,6,no,1,Russian,3.89,5,1,22,C
M,no,5,no,26,Russian,3.89,1,1,22,C
M,no,1,no,5,Russian,3.89,5,0,22,C
F,yes,5,no,17,Russian,3.89,2,1,17,C
M,no,3,no,4,Russian,3.89,2,1,19,C
M,no,6,no,27,Russian,3.89,1,0,22,C
M,no,3,no,0,Russian,3.89,4,1,18,C
M,no,6,yes,16,Russian,3.89,1,0,18,C
M,no,6,yes,14,Russian,3.89,4,1,17,C
F,yes,2,no,5,Russian,3.89,4,0,18,C
F,no,3,yes,31,Russian,3.89,4,0,21,C
F,no,2,yes,4,Russian,3.89,5,0,18,C
M,no,1,no,5,Russian,3.89,5,1,18,C
F,no,1,no,11,Russian,3.89,1,0,21,C
M,no,8,yes,12,Russian,3.89,4,0,20,C
F,no,0,no,5,Russian,3.89,5,0,18,C
F,yes,6,no,1,Russian,3.9,5,1,20,C
M,no,5,no,2,Russian,3.9,4,1,21,C
F,yes,10,no,1,Russian,3.9,5,1,18,C
F,no,2,yes,30,Russian,3.9,1,1,20,C
M,no,6,no,0,Russian,3.9,5,1,22,C
F,no,2,yes,6,Russian,3.9,3,0,21,C
M,no,6,yes,24,Russian,3.9,3,0,18,C
F,no,7,no,26,Russian,3.9,3,0,22,C
M,no,7,no,0,Russian,3.9,2,1,19,C
M,no,1,no,18,Russian,3.9,4,1,20,C
M,no,4,no,20,Russian,3.91,3,1,21,C
F,no,0,no,23,Russian,3.91,3,1,20,C
M,yes,4,no,4,Russian,3.91,3,0,18,C
F,no,4,no,30,Russian,3.91,1,0,17,C
F,no,4,no,34,Russian,3.91,2,0,19,C
F,no,1,no,26,Russian,3.91,5,0,21,C
M,no,5,no,27,Russian,3.91,3,1,20,C
F,no,1,yes,18,Russian,3.91,2,1,19,C
F,no,4,no,39,Russian,3.91,4,0,18,C
F,no,7,yes,29,Russian,3.91,2,0,17,C
M,no,0,yes,27,Russian,3.91,3,0,19,C
M,yes,3,yes,17,Russian,3.91,3,1,18,C
F,yes,5,yes,31,Russian,3.91,5,0,19,C
F,yes,4,no,13,Russian,3.91,5,0,18,C
F,no,4,yes,12,Russian,3.91,3,1,19,C
M,yes,10,no,0,Russian,3.91,4,0,18,C
M,no,2,yes,21,Russian,3.91,5,0,22,C
F,yes,3,no,28,Russian,3.91,3,0,17,C
F,yes,8,no,35,Russian,3.91,2,0,18,C
M,no,9,yes,24,Russian,3.91,2,1,17,C
M,no,1,no,28,Russian,3.91,1,1,22,C
M,no,9,no,0,Russian,3.91,3,1,17,C
F,yes,6,no,0,Russian,3.91,2,0,17,C
M,no,2,no,3,Russian,3.91,2,1,20,C
F,no,3,no,16,Russian,3.91,4,0,18,C
F,no,2,no,26,Russian,3.91,1,0,21,C
F,yes,10,yes,4,Russian,3.92,3,0,20,C
M,no,2,no,24,Russian,3.92,2,0,17,C
M,no,5,yes,22,Russian,3.92,2,1,21,C
F,yes,2,no,14,Russian,3.92,3,1,20,C
M,no,2,no,21,Russian,3.92,4,1,17,C
M,no,4,no,29,Russian,3.92,1,1,20,C
F,no,6,no,3,Russian,3.92,4,0,21,C
M,no,2,no,4,Russian,3.92,4,1,19,C
M,no,5,no,19,Russian,3.92,5,0,22,C
M,no,3,no,33,Russian,3.92,1,0,21,C
F,no,1,no,24,Russian,3.92,4,0,20,C
M,no,4,no,29,Russian,3.92,2,0,18,C
M,no,1,yes,27,Russian,3.92,2,0,18,C
F,no,2,no,20,Russian,3.92,4,0,22,C
F,no,0,no,35,Russian,3.92,5,0,22,C
F,no,0,no,29,Russian,3.92,2,0,17,C
M,no,2,yes,0,Russian,3.92,4,1,17,C
M,no,3,no,10,Russian,3.92,4,0,17,C
M,no,1,yes,29,Russian,3.93,2,1,18,C
M,no,0,yes,17,Russian,3.93,4,1,22,C
M,yes,10,no,1,Russian,3.93,3,0,21,C
F,no,1,no,14,Russian,3.93,1,1,17,C
M,no,1,no,24,Russian,3.93,3,0,21,C
M,no,2,no,35,Russian,3.93,5,0,22,C
M,no,3,no,19,Russian,3.93,3,0,17,C
M,no,6,no,23,Russian,3.93,1,0,18,C
M,no,9,no,14,Russian,3.93,2,1,21,C
M,no,2,no,21,Russian,3.93,4,0,21,C
M,no,6,no,18,Russian,3.93,5,1,22,C
F,no,2,yes,16,Russian,3.93,1,0,19,C
F,no,4,no,2,Russian,3.93,5,1,22,C
M,no,5,yes,16,Russian,3.93,5,0,22,C
F,no,0,no,29,Russian,3.93,5,0,19,C
M,no,5,no,35,Russian,3.93,2,1,17,C
M,no,2,no,11,Russian,3.93,1,0,18,C
M,no,3,no,4,Russian,3.94,3,0,21,C
F,no,0,no,15,Russian,3.94,1,0,17,C
M,yes,10,no,25,Russian,3.94,2,1,17,C
F,no,1,no,31,Russian,3.94,5,1,21,C
F,no,7,no,30,Russian,3.94,5,1,19,C
F,no,3,no,17,Russian,3.94,4,0,22,C
F,no,10,no,0,Russian,3.94,1,0,17,C
F,yes,2,no,10,Russian,3.94,1,0,18,C
F,no,2,no,22,Russian,3.94,2,0,20,C
M,no,3,no,16,Russian,3.94,3,1,22,C
F,no,2,no,11,Russian,3.94,4,1,21,C
F,no,3,no,35,Russian,3.94,1,1,22,C
M,no,1,no,25,Russian,3.94,5,1,22,C
F,no,9,no,5,Russian,3.94,2,1,17,C
M,no,2,yes,35,Russian,3.94,2,0,19,C
M,no,4,no,15,Russian,3.94,2,1,19,C
M,no,4,yes,21,Russian,3.94,1,1,22,C
F,no,2,no,3,Russian,3.94,3,0,20,C
F,no,1,no,1,Russian,3.94,1,0,22,C
F,no,1,no,32,Russian,3.94,2,0,17,C
M,no,6,yes,25,Russian,3.94,2,1,22,C
F,no,9,no,26,Russian,3.94,5,1,17,C
F,yes,7,no,34,Russian,3.94,1,1,21,C
M,no,2,yes,25,Russian,3.94,4,1,19,C
M,yes,10,no,3,Russian,3.94,5,1,20,C
M,yes,3,no,12,Russian,3.94,5,0,22,C
M,no,1,no,25,Russian,3.94,5,0,18,C
M,no,6,no,50,Russian,3.94,5,1,21,C
F,no,7,no,15,Russian,3.94,3,1,22,C
F,no,0,no,34,Russian,3.94,4,1,22,C
F,no,6,no,27,Russian,3.94,5,1,22,C
F,no,1,no,5,Russian,3.94,1,1,20,C
M,no,10,yes,0,Russian,3.94,4,1,22,C
M,no,5,no,15,Russian,3.94,2,0,20,C
F,no,2,yes,31,Russian,3.94,5,0,20,C
F,no,6,no,0,Russian,3.95,5,1,21,C
M,yes,1,no,5,Russian,3.95,1,1,17,C
M,no,3,no,35,Russian,3.95,3,0,17,C
M,no,0,no,27,Russian,3.95,5,1,20,C
F,yes,7,no,1,Russian,3.95,1,0,17,C
M,yes,6,no,2,Russian,3.95,5,0,21,C
F,no,10,no,34,Russian,3.95,3,1,18,C
M,yes,2,yes,18,Russian,3.95,5,0,17,C
M,no,1,no,14,Russian,3.95,5,0,19,C
F,no,1,no,6,Russian,3.95,3,1,18,C
M,no,5,yes,2,Russian,3.95,2,0,18,C
M,no,2,no,19,Russian,3.95,4,1,18,C
F,no,1,no,1,Russian,3.95,5,0,20,C
F,no,2,no,13,Russian,3.95,3,1,21,C
F,yes,8,no,3,Russian,3.95,3,1,17,C
M,no,2,no,21,Russian,3.95,1,0,21,C
F,yes,2,no,29,Russian,3.95,5,1,18,C
F,no,0,yes,11,Russian,3.95,5,0,21,C
M,no,3,no,23,Russian,3.95,1,0,19,C
M,yes,2,no,30,Russian,3.95,3,1,22,C
F,no,1,no,13,Russian,3.95,1,0,17,C
M,no,4,no,19,Russian,3.95,4,0,20,C
F,no,5,no,33,Russian,3.95,3,1,21,C
M,no,2,no,21,Russian,3.95,2,1,21,C
F,no,7,no,31,Russian,3.96,4,1,20,C
M,no,6,no,3,Russian,3.96,5,1,19,C
F,yes,7,no,3,Russian,3.96,4,0,21,C
M,yes,0,no,30,Russian,3.96,1,0,21,C
F,yes,5,yes,1,Russian,3.96,5,1,18,C
F,no,0,yes,8,Russian,3.96,5,1,21,C
M,no,2,no,29,Russian,3.96,4,1,22,C
F,no,2,no,18,Russian,3.96,1,1,17,C
F,no,6,yes,4,Russian,3.96,5,1,18,C
F,no,1,no,10,Russian,3.96,2,0,22,C
F,no,2,no,32,Russian,3.96,5,0,21,C
F,no,1,no,32,Russian,3.96,5,1,20,C
M,no,2,yes,16,Russian,3.96,2,0,21,C
M,no,6,no,35,Russian,3.96,3,0,21,C
F,no,8,no,2,Russian,3.96,4,0,19,C
F,no,3,no,27,Russian,3.96,1,1,21,C
M,no,3,no,28,Russian,3.96,4,0,20,C
M,no,2,no,2,Russian,3.96,1,0,22,C
M,no,3,no,42,Russian,3.96,1,0,19,C
M,no,7,no,31,Russian,3.96,5,1,22,C
M,no,3,no,15,Russian,3.96,1,0,19,C
M,no,7,no,1,Russian,3.96,2,1,17,C
F,no,5,no,10,Russian,3.96,5,0,20,C
F,no,5,no,40,Russian,3.96,2,1,18,C
M,no,8,no,40,Russian,3.96,1,0,19,C
F,no,0,no,8,Russian,3.96,2,0,17,C
F,no,2,no,22,Russian,3.96,3,1,20,C
F,no,3,no,21,Russian,3.96,3,0,20,C
M,no,7,no,31,Russian,3.97,4,0,19,C
M,no,1,no,10,Russian,3.97,1,0,20,C
F,no,3,yes,35,Russian,3.97,3,1,21,C
M,no,3,no,14,Russian,3.97,4,0,21,C
M,no,2,no,7,Russian,3.97,3,0,19,C
M,no,5,no,4,Russian,3.97,2,0,20,C
F,no,4,yes,14,Russian,3.97,2,0,19,C
F,no,1,yes,29,Russian,3.97,2,1,18,C
F,yes,3,no,20,Russian,3.97,1,1,19,C
F,no,3,yes,24,Russian,3.97,5,1,19,C
F,no,3,yes,27,Russian,3.97,5,1,20,C
F,no,3,no,31,Russian,3.97,3,0,21,C
F,no,4,no,27,Russian,3.97,3,1,17,C
M,no,2,no,23,Russian,3.97,1,1,22,C
F,no,10,no,0,Russian,3.97,5,1,18,C
F,no,2,no,35,Russian,3.97,1,1,22,C
M,no,1,yes,33,Russian,3.97,2,1,20,C
M,no,5,yes,11,Russian,3.97,4,0,18,C
F,no,9,no,10,Russian,3.97,2,1,19,C
M,yes,6,no,3,Russian,3.97,3,0,22,C
M,no,3,no,5,Russian,3.97,4,1,20,C
M,no,5,no,34,Russian,3.97,5,1,17,C
F,no,7,no,15,Russian,3.97,1,0,19,C
F,no,1,no,20,Russian,3.98,4,1,18,C
M,no,1,no,3,Russian,3.98,5,1,17,C
M,yes,2,yes,2,Russian,3.98,5,1,21,C
F,no,1,no,27,Russian,3.98,3,1,22,C
M,yes,0,no,29,Russian,3.98,4,0,17,C
F,no,1,yes,2,Russian,3.98,2,1,19,C
F,no,5,no,9,Russian,3.98,5,1,19,C
M,no,7,no,14,Russian,3.98,3,0,20,C
M,no,8,no,25,Russian,3.98,4,1,22,C
M,no,1,yes,9,Russian,3.98,1,0,21,C
M,yes,9,no,2,Russian,3.98,1,0,17,C
M,no,5,no,31,Russian,3.98,1,1,20,C
M,no,5,no,3,Russian,3.98,1,1,22,C
F,no,5,no,12,Russian,3.98,3,1,21,C
M,no,5,no,5,Russian,3.98,5,0,19,C
F,no,10,no,11,Russian,3.98,4,0,19,C
M,no,2,no,4,Russian,3.99,2,1,21,C
M,no,2,no,25,Russian,3.99,3,1,18,C
M,no,1,no,33,Russian,3.99,4,0,22,C
M,yes,1,no,24,Russian,3.99,5,0,21,C
F,no,3,no,0,Russian,3.99,2,0,19,C
M,yes,6,no,0,Russian,3.99,1,0,21,C
F,no,2,no,3,Russian,3.99,1,1,17,C
M,no,2,no,26,Russian,3.99,4,0,22,C
M,no,7,no,31,Russian,3.99,5,0,22,C
F,no,4,no,20,Russian,3.99,1,1,22,C
F,no,1,no,9,Russian,3.99,1,0,22,C
F,no,10,yes,15,Russian,3.99,5,1,21,C
M,no,10,no,1,Russian,3.99,1,0,19,C
M,yes,1,yes,4,Russian,3.99,5,1,17,C
M,no,3,yes,2,Russian,3.99,4,0,17,C
F,no,5,no,32,Russian,3.99,3,1,22,C
M,yes,7,no,2,Russian,3.99,3,0,21,C
F,yes,1,no,2,Russian,3.99,5,0,19,C
F,no,6,no,19,Russian,3.99,3,1,17,C
M,no,4,no,12,Russian,3.99,5,0,18,C
M,no,10,no,5,Russian,3.99,1,1,18,C
F,no,4,no,22,Russian,3.99,3,1,18,C
M,yes,7,no,1,Russian,3.99,4,0,19,C
M,no,0,no,21,Russian,4,2,1,17,C
F,yes,4,no,5,Russian,4,3,0,19,C
F,no,3,yes,5,Russian,4,2,1,21,C
F,no,2,no,8,Russian,4,4,0,17,C
M,no,4,no,25,Russian,4,5,0,18,C
M,no,5,no,34,Russian,4,3,1,21,C
M,no,3,no,0,Russian,4,3,0,19,C
F,no,0,no,34,Russian,4,1,0,17,C
M,no,2,no,31,Russian,4,3,0,21,C
F,yes,7,no,1,Russian,4,5,0,19,C
F,no,1,yes,28,Russian,4,1,1,22,C
M,yes,4,no,5,Russian,4,1,1,19,C
F,no,1,no,26,Russian,4,5,1,21,C
M,no,1,no,21,Russian,4,3,0,21,C
M,no,4,no,22,Russian,4,3,1,19,C
F,no,3,no,30,Russian,4,2,0,22,C
F,yes,7,no,2,Russian,4,1,0,22,C
M,no,5,no,24,Russian,4,2,0,22,C
M,no,10,no,15,Russian,4,1,1,20,C
M,no,1,no,24,Russian,4,4,1,21,C
M,no,5,no,3,Russian,4,4,0,17,C
M,yes,6,yes,4,Russian,4.01,4,0,20,B
F,no,5,no,42,Russian,4.01,2,0,22,B
F,no,6,no,24,Russian,4.01,1,0,22,B
F,no,1,no,0,Russian,4.01,4,1,17,B
F,no,3,no,4,Russian,4.01,2,0,21,B
F,no,3,no,25,Russian,4.01,5,0,19,B
F,yes,1,yes,1,Russian,4.01,5,0,19,B
M,no,5,no,35,Russian,4.01,3,0,18,B
M,no,7,no,20,Russian,4.01,5,1,17,B
F,no,7,no,11,Russian,4.01,2,1,20,B
M,yes,3,no,21,Russian,4.01,4,1,19,B
M,yes,9,no,1,Russian,4.01,5,0,18,B
F,no,3,no,15,Russian,4.01,3,1,20,B
M,no,1,no,33,Russian,4.01,1,0,19,B
F,yes,10,no,4,Russian,4.01,5,0,22,B
M,no,2,yes,24,Russian,4.01,4,1,17,B
F,no,1,no,13,Russian,4.01,5,0,18,B
M,yes,6,no,5,Russian,4.01,3,1,20,B
M,no,1,yes,12,Russian,4.01,5,1,18,B
M,no,4,yes,8,Russian,4.01,3,0,19,B
F,no,2,no,8,Russian,4.01,2,0,19,B
M,no,5,no,8,Russian,4.01,1,0,19,B
F,yes,4,yes,0,Russian,4.01,5,1,19,B
F,no,5,no,14,Russian,4.01,5,1,17,B
F,yes,4,yes,3,Russian,4.01,2,1,22,B
M,no,2,no,19,Russian,4.01,4,1,17,B
M,no,4,no,29,Russian,4.01,2,1,19,B
F,yes,7,yes,0,Russian,4.01,4,0,19,B
M,no,7,no,5,Russian,4.01,3,1,21,B
F,no,6,no,4,Russian,4.01,4,1,18,B
F,no,7,no,1,Russian,4.01,2,0,21,B
M,no,8,yes,12,Russian,4.01,1,1,21,B
F,no,3,no,27,Russian,4.01,5,1,18,B
F,no,4,yes,12,Russian,4.01,5,1,18,B
M,no,3,no,21,Russian,4.01,4,0,18,B
F,no,9,no,15,Russian,4.01,4,1,22,B
F,no,3,no,26,Russian,4.01,1,0,21,B
F,yes,10,no,3,Russian,4.01,4,1,18,B
F,no,1,no,31,Russian,4.01,3,0,20,B
M,no,9,no,31,Russian,4.01,2,1,19,B
M,no,3,no,3,Russian,4.01,2,1,21,B
F,no,8,no,16,Russian,4.01,4,1,21,B
M,no,5,no,29,Russian,4.01,4,0,18,B
M,no,4,no,31,Russian,4.01,2,1,20,B
M,no,1,no,46,Russian,4.02,4,1,17,B
F,no,1,no,24,Russian,4.02,2,1,19,B
F,no,2,no,2,Russian,4.02,5,0,18,B
M,yes,10,no,2,Russian,4.02,3,0,17,B
F,no,3,no,9,Russian,4.02,2,1,18,B
F,yes,7,no,0,Russian,4.02,4,1,19,B
M,no,8,no,4,Russian,4.02,2,1,17,B
F,no,6,no,4,Russian,4.02,2,1,17,B
M,no,4,no,34,Russian,4.02,5,0,20,B
M,no,2,no,34,Russian,4.02,3,0,18,B
M,no,5,no,32,Russian,4.02,1,0,18,B
F,yes,4,no,23,Russian,4.02,1,0,21,B
M,no,2,yes,20,Kyrgyz,4.02,3,1,20,B
F,no,1,no,5,Russian,4.02,1,0,21,B
F,no,5,yes,15,Russian,4.02,2,0,21,B
M,no,3,no,21,Russian,4.03,2,0,18,B
M,no,1,no,30,Russian,4.03,2,0,20,B
M,no,3,yes,15,Russian,4.03,3,1,20,B
M,no,6,yes,18,Russian,4.03,5,0,20,B
F,yes,10,no,4,Russian,4.03,3,0,20,B
M,no,3,no,24,Russian,4.03,5,1,18,B
M,no,3,no,15,Russian,4.03,2,1,17,B
F,no,3,no,2,Russian,4.03,5,1,19,B
F,no,6,no,14,Russian,4.03,1,0,22,B
M,no,1,no,5,Russian,4.03,3,0,20,B
F,no,5,no,0,Russian,4.03,5,1,17,B
F,no,1,no,10,Russian,4.03,3,1,19,B
F,yes,5,no,2,Russian,4.03,2,0,21,B
M,no,3,no,30,Russian,4.03,2,1,20,B
F,no,7,no,28,Russian,4.03,5,0,22,B
F,no,0,yes,29,Russian,4.03,3,1,17,B
F,no,0,no,35,Russian,4.04,3,0,18,B
F,no,1,no,12,Russian,4.04,4,1,18,B
M,yes,3,no,32,Russian,4.04,4,0,22,B
M,no,2,no,27,Russian,4.04,2,0,19,B
F,no,4,no,25,Russian,4.04,1,0,22,B
M,no,10,no,11,Russian,4.04,3,0,20,B
M,no,3,no,2,Russian,4.04,4,0,22,B
F,no,2,no,24,Russian,4.04,5,0,19,B
F,no,4,no,16,Russian,4.04,2,1,22,B
M,no,7,yes,1,Russian,4.04,4,1,21,B
M,no,0,no,2,Russian,4.04,1,0,19,B
F,no,1,no,35,Russian,4.04,2,1,20,B
F,no,0,no,5,Russian,4.04,3,1,22,B
F,no,4,no,14,Russian,4.04,2,1,17,B
F,no,2,no,26,Russian,4.04,1,0,21,B
M,no,3,no,41,Russian,4.04,1,1,18,B
F,no,2,yes,6,Russian,4.04,4,0,20,B
M,no,3,no,35,Russian,4.04,5,0,19,B
M,no,0,yes,30,Russian,4.04,5,0,20,B
M,no,2,yes,12,Russian,4.04,3,0,19,B
F,no,2,no,29,Russian,4.04,1,1,20,B
F,yes,9,yes,4,Russian,4.04,1,1,18,B
F,yes,2,no,0,Russian,4.04,1,1,22,B
M,no,3,no,17,Russian,4.04,4,1,19,B
F,no,1,yes,20,Russian,4.04,3,0,20,B
F,no,2,no,35,Russian,4.04,2,0,22,B
M,no,2,no,26,Russian,4.04,5,0,18,B
F,no,3,yes,24,Russian,4.04,2,0,17,B
F,yes,6,no,0,Russian,4.04,1,1,17,B
M,no,7,no,32,Russian,4.04,4,0,20,B
M,no,4,yes,4,Russian,4.04,2,0,19,B
M,no,3,no,34,Russian,4.04,5,1,19,B
F,yes,3,no,29,Russian,4.04,1,1,19,B
M,no,2,yes,35,Russian,4.04,5,1,19,B
F,no,5,no,23,Russian,4.04,2,1,21,B
M,yes,8,no,5,Russian,4.04,2,0,22,B
F,no,0,no,1,Russian,4.04,2,1,18,B
M,no,1,no,31,Russian,4.05,5,1,17,B
F,no,1,yes,14,Russian,4.05,5,1,19,B
M,no,6,no,3,Russian,4.05,1,1,17,B
M,yes,2,no,18,Russian,4.05,4,0,20,B
M,no,1,yes,47,Russian,4.05,2,0,19,B
F,no,2,no,4,Russian,4.05,3,1,19,B
M,yes,1,yes,32,Russian,4.05,1,0,17,B
M,no,3,yes,20,Russian,4.05,3,1,20,B
F,yes,6,no,3,Russian,4.05,4,1,18,B
M,yes,5,no,19,Russian,4.05,3,1,21,B
M,no,1,yes,5,Russian,4.05,3,0,21,B
M,no,10,yes,0,Russian,4.05,1,0,17,B
F,no,10,yes,9,Russian,4.05,1,0,20,B
F,no,10,no,4,Russian,4.05,2,1,20,B
M,no,3,no,22,Russian,4.05,3,1,22,B
F,no,9,no,3,Russian,4.05,1,0,18,B
F,no,3,no,33,Russian,4.05,4,1,18,B
M,no,0,no,13,Russian,4.05,3,0,21,B
M,no,0,no,19,Russian,4.05,1,1,22,B
F,no,2,yes,10,Russian,4.05,1,0,19,B
F,yes,2,no,29,Russian,4.06,2,0,22,B
M,no,3,yes,31,Russian,4.06,5,0,20,B
M,no,3,yes,3,Russian,4.06,3,0,21,B
F,no,0,yes,29,Russian,4.06,1,1,19,B
M,yes,3,no,34,Russian,4.06,2,1,17,B
M,yes,10,no,4,Russian,4.06,1,1,17,B
M,no,3,no,34,Russian,4.06,4,1,20,B
M,no,2,no,30,Russian,4.06,1,1,17,B
F,no,3,no,18,Russian,4.06,1,0,20,B
M,no,3,no,32,Russian,4.06,1,0,17,B
M,no,1,no,31,Russian,4.06,5,1,19,B
M,no,10,no,0,Russian,4.06,1,0,18,B
M,no,7,no,3,Russian,4.06,5,0,21,B
F,no,3,yes,5,Russian,4.06,1,1,17,B
M,no,3,yes,24,Russian,4.06,4,1,19,B
F,no,4,no,27,Russian,4.06,5,1,20,B
M,no,1,yes,21,Russian,4.06,5,0,18,B
F,no,4,no,32,Russian,4.06,1,1,20,B
F,yes,7,no,5,Russian,4.06,4,0,17,B
F,no,7,no,7,Russian,4.06,4,1,22,B
M,yes,8,no,1,Russian,4.06,5,1,18,B
F,no,3,no,22,Russian,4.06,3,1,22,B
M,no,5,yes,15,Russian,4.06,2,0,17,B
M,no,1,no,12,Russian,4.06,4,1,22,B
M,no,3,yes,21,Russian,4.06,5,0,17,B
M,yes,5,no,24,Russian,4.06,2,1,19,B
F,no,7,no,18,Russian,4.06,3,0,19,B
F,no,6,no,4,Russian,4.06,5,0,19,B
M,yes,6,no,5,Russian,4.06,3,0,18,B
F,yes,7,no,32,Russian,4.06,4,1,19,B
M,no,8,yes,0,Russian,4.06,4,0,20,B
F,no,2,no,34,Russian,4.06,3,1,22,B
F,no,5,no,28,Russian,4.06,3,1,20,B
M,yes,1,yes,30,Russian,4.06,4,1,18,B
M,no,8,no,31,Russian,4.06,2,0,18,B
M,no,3,yes,33,Russian,4.06,3,0,19,B
F,no,2,no,28,Russian,4.06,3,0,18,B
M,no,2,no,31,Russian,4.07,2,1,22,B
M,yes,3,no,7,Russian,4.07,4,1,20,B
F,no,6,no,28,Russian,4.07,5,1,21,B
F,no,4,yes,44,Russian,4.07,2,1,17,B
F,yes,0,no,13,Russian,4.07,2,0,20,B
M,no,2,no,15,Russian,4.07,2,0,18,B
F,no,3,no,16,Russian,4.07,3,1,17,B
F,no,1,no,18,Russian,4.07,1,1,19,B
F,no,1,no,28,Russian,4.07,3,1,17,B
F,no,5,no,29,Russian,4.07,4,0,19,B
F,no,8,no,30,Russian,4.07,2,0,20,B
